Rating,Duration
G,88.07692307692308
NC-17,125.0
NR,95.1547619047619
PG,97.99595141700405
PG-13,107.7720207253886
R,106.15187969924813
TV-14,98.75090626618332
TV-G,83.61855670103093
TV-MA,90.5578064966818
TV-PG,88.03846153846153
TV-Y,72.0
TV-Y7,84.30258302583026
TV-Y7-FV,77.0
UR,106.8
Unknown,70.85714285714286
